epoch,s_per_epoch,total,contrib_pde,contrib_bc,contrib_ic,contrib_interface,contrib_pde_mech,contrib_bc_mech
154,0.547932,3.534680e+03,2.984577e-02,4.900419e-01,2.017393e+00,1.017751e-05,3.530164e+03,1.978821e+00
155,0.545185,3.507881e+03,2.924700e-02,4.895526e-01,2.015718e+00,1.017551e-05,3.503369e+03,1.977748e+00
156,0.546235,3.481398e+03,2.356878e-02,4.890728e-01,2.014031e+00,1.017424e-05,3.476895e+03,1.976760e+00
157,0.547928,3.455233e+03,2.561818e-02,4.886592e-01,2.012548e+00,1.017144e-05,3.450730e+03,1.975981e+00
158,0.546275,3.429362e+03,2.293366e-02,4.883004e-01,2.011221e+00,1.016742e-05,3.424865e+03,1.975381e+00
159,0.545724,3.403785e+03,1.866614e-02,4.880190e-01,2.010150e+00,1.016459e-05,3.399293e+03,1.975058e+00
160,0.548121,3.378501e+03,1.716970e-02,4.877642e-01,2.009122e+00,1.015660e-05,3.374012e+03,1.974834e+00
161,0.547781,3.353522e+03,2.948811e-02,4.875041e-01,2.008022e+00,1.014819e-05,3.349022e+03,1.974630e+00
162,0.549084,3.328821e+03,2.869974e-02,4.872024e-01,2.006728e+00,1.014148e-05,3.324324e+03,1.974355e+00
163,0.547103,3.304410e+03,2.935715e-02,4.869581e-01,2.005660e+00,1.013570e-05,3.299914e+03,1.974267e+00
164,0.549937,3.280277e+03,2.419035e-02,4.867621e-01,2.004777e+00,1.013081e-05,3.275787e+03,1.974333e+00
165,0.549305,3.256422e+03,2.303223e-02,4.865741e-01,2.003889e+00,1.012601e-05,3.251934e+03,1.974431e+00
166,0.547833,3.232837e+03,2.159438e-02,4.863782e-01,2.002923e+00,1.012107e-05,3.228351e+03,1.974511e+00
167,0.546755,3.209513e+03,1.813391e-02,4.861796e-01,2.001902e+00,1.011626e-05,3.205032e+03,1.974594e+00
168,0.546037,3.186456e+03,1.980086e-02,4.859687e-01,2.000789e+00,1.011135e-05,3.181975e+03,1.974631e+00
169,0.546511,3.163658e+03,2.172137e-02,4.857514e-01,1.999615e+00,1.010657e-05,3.159177e+03,1.974635e+00
170,0.546228,3.141112e+03,1.990355e-02,4.855397e-01,1.998440e+00,1.010233e-05,3.136633e+03,1.974640e+00
171,0.547237,3.118819e+03,2.060698e-02,4.853380e-01,1.997291e+00,1.009898e-05,3.114341e+03,1.974648e+00
172,0.546285,3.096773e+03,2.020072e-02,4.851396e-01,1.996140e+00,1.009974e-05,3.092297e+03,1.974637e+00
173,0.549038,3.074970e+03,2.055026e-02,4.849309e-01,1.994923e+00,1.009676e-05,3.070495e+03,1.974565e+00
174,0.545716,3.053406e+03,2.158378e-02,4.847027e-01,1.993601e+00,1.009372e-05,3.048932e+03,1.974408e+00
175,0.545149,3.032078e+03,2.286626e-02,4.844516e-01,1.992159e+00,1.009067e-05,3.027604e+03,1.974157e+00
176,0.568717,3.010981e+03,2.419103e-02,4.841769e-01,1.990596e+00,1.009007e-05,3.006508e+03,1.973811e+00
177,0.566661,2.990112e+03,2.548615e-02,4.838794e-01,1.988917e+00,1.008802e-05,2.985640e+03,1.973373e+00
178,0.569440,2.969467e+03,2.672145e-02,4.835603e-01,1.987130e+00,1.008428e-05,2.964997e+03,1.972850e+00
179,0.568472,2.949043e+03,2.786732e-02,4.832215e-01,1.985244e+00,1.008046e-05,2.944575e+03,1.972247e+00
180,0.568218,2.928837e+03,2.885308e-02,4.828654e-01,1.983271e+00,1.007661e-05,2.924370e+03,1.971575e+00
181,0.564026,2.908845e+03,2.933596e-02,4.824951e-01,1.981225e+00,1.007279e-05,2.904381e+03,1.970844e+00
182,0.553878,2.889063e+03,2.959458e-02,4.821165e-01,1.979131e+00,1.006910e-05,2.884603e+03,1.970074e+00
183,0.547919,2.869491e+03,3.049424e-02,4.817286e-01,1.976988e+00,1.006549e-05,2.865033e+03,1.969262e+00
184,0.546748,2.850125e+03,3.123952e-02,4.813341e-01,1.974805e+00,1.006196e-05,2.845669e+03,1.968420e+00
185,0.550049,2.830961e+03,3.167326e-02,4.809357e-01,1.972593e+00,1.005852e-05,2.826508e+03,1.967556e+00
186,0.546878,2.811995e+03,3.133578e-02,4.805358e-01,1.970364e+00,1.005518e-05,2.807547e+03,1.966682e+00
187,0.546568,2.793224e+03,2.812282e-02,4.801388e-01,1.968137e+00,1.005202e-05,2.788782e+03,1.965818e+00
188,0.552515,2.774649e+03,2.728572e-02,4.797409e-01,1.965894e+00,1.004883e-05,2.770211e+03,1.964947e+00
189,0.549064,2.756267e+03,2.799550e-02,4.793444e-01,1.963645e+00,1.004564e-05,2.751832e+03,1.964076e+00
190,0.550269,2.738072e+03,2.764627e-02,4.789519e-01,1.961404e+00,1.004251e-05,2.733641e+03,1.963217e+00
191,0.555808,2.720063e+03,2.720030e-02,4.785730e-01,1.959214e+00,1.003979e-05,2.715635e+03,1.962412e+00
192,0.556946,2.702239e+03,2.926233e-02,4.781945e-01,1.957017e+00,1.003700e-05,2.697813e+03,1.961605e+00
193,0.555228,2.684598e+03,3.158808e-02,4.778160e-01,1.954813e+00,1.003420e-05,2.680173e+03,1.960796e+00
194,0.555604,2.667134e+03,3.370980e-02,4.774380e-01,1.952606e+00,1.003144e-05,2.662711e+03,1.959989e+00
195,0.572003,2.649845e+03,3.367194e-02,4.770630e-01,1.950411e+00,1.002892e-05,2.645425e+03,1.959198e+00
196,0.551369,2.632724e+03,2.740698e-02,4.767048e-01,1.948290e+00,1.002719e-05,2.628313e+03,1.958484e+00
197,0.563327,2.615782e+03,2.877685e-02,4.763452e-01,1.946163e+00,1.002546e-05,2.611373e+03,1.957759e+00
198,0.567075,2.599007e+03,2.722591e-02,4.759882e-01,1.944042e+00,1.002373e-05,2.594603e+03,1.957032e+00
199,0.566968,2.582394e+03,2.117076e-02,4.756396e-01,1.941946e+00,1.002189e-05,2.577999e+03,1.956317e+00
200,0.552962,2.565943e+03,1.379063e-02,4.753028e-01,1.939882e+00,1.001983e-05,2.561558e+03,1.955620e+00
201,0.552256,2.549658e+03,1.339196e-02,4.749677e-01,1.937807e+00,1.001742e-05,2.545277e+03,1.954915e+00
202,0.550743,2.533533e+03,1.384098e-02,4.746251e-01,1.935686e+00,1.001468e-05,2.529155e+03,1.954178e+00
203,0.551746,2.517566e+03,1.430066e-02,4.742746e-01,1.933516e+00,1.001191e-05,2.513191e+03,1.953409e+00
204,0.546945,2.501755e+03,1.475129e-02,4.739163e-01,1.931299e+00,1.001129e-05,2.497382e+03,1.952609e+00
205,0.551511,2.486097e+03,1.519317e-02,4.735507e-01,1.929039e+00,1.000808e-05,2.481728e+03,1.951780e+00
206,0.551154,2.470592e+03,1.562540e-02,4.731782e-01,1.926739e+00,1.000451e-05,2.466225e+03,1.950921e+00
207,0.550668,2.455236e+03,1.604529e-02,4.727991e-01,1.924401e+00,1.000096e-05,2.450873e+03,1.950033e+00
208,0.557478,2.440029e+03,1.645034e-02,4.724140e-01,1.922028e+00,9.997492e-06,2.435669e+03,1.949117e+00
209,0.552262,2.424968e+03,1.683784e-02,4.720233e-01,1.919624e+00,9.994160e-06,2.420611e+03,1.948173e+00
210,0.546638,2.410051e+03,1.720385e-02,4.716277e-01,1.917192e+00,9.990991e-06,2.405698e+03,1.947202e+00
211,0.547839,2.395276e+03,1.754607e-02,4.712276e-01,1.914735e+00,9.987988e-06,2.390927e+03,1.946206e+00
212,0.555483,2.380642e+03,1.786911e-02,4.708234e-01,1.912254e+00,9.985131e-06,2.376296e+03,1.945184e+00
213,0.554711,2.366147e+03,1.818515e-02,4.704153e-01,1.909750e+00,9.982381e-06,2.361805e+03,1.944139e+00
214,0.553462,2.351790e+03,1.850833e-02,4.700035e-01,1.907223e+00,9.979690e-06,2.347451e+03,1.943072e+00
215,0.544938,2.337567e+03,1.884969e-02,4.695882e-01,1.904675e+00,9.977011e-06,2.333232e+03,1.941984e+00
